onset,name
0,baseline
5.000000e-01,baseline
1,baseline
1.500000e+00,baseline
2,baseline
2.500000e+00,baseline
3,baseline
3.500000e+00,baseline
4,baseline
4.500000e+00,baseline
5,baseline
5.500000e+00,baseline
6,food-59.jpg
6.500000e+00,food-52.jpg
7,food-3.jpg
7.500000e+00,food-13.jpg
8,food-6.jpg
8.500000e+00,food-38.jpg
9,food-65.jpg
9.500000e+00,food-42.jpg
10,food-32.jpg
1.050000e+01,food-80.jpg
11,food-80.jpg
1.150000e+01,food-70.jpg
12,house-11.jpg
1.250000e+01,house-72.jpg
13,house-49.jpg
1.350000e+01,house-66.jpg
14,house-39.jpg
1.450000e+01,house-39.jpg
15,house-63.jpg
1.550000e+01,house-3.jpg
16,house-48.jpg
1.650000e+01,house-15.jpg
17,house-57.jpg
1.750000e+01,house-65.jpg
18,word-67.jpg
1.850000e+01,word-5.jpg
19,word-20.jpg
1.950000e+01,word-71.jpg
20,word-49.jpg
2.050000e+01,word-39.jpg
21,word-42.jpg
2.150000e+01,word-18.jpg
22,word-74.jpg
2.250000e+01,word-33.jpg
23,word-51.jpg
2.350000e+01,word-53.jpg
24,word-46.jpg
2.450000e+01,word-73.jpg
25,word-62.jpg
2.550000e+01,word-62.jpg
26,word-9.jpg
2.650000e+01,word-13.jpg
27,word-76.jpg
2.750000e+01,word-31.jpg
28,word-56.jpg
2.850000e+01,word-79.jpg
29,word-80.jpg
2.950000e+01,word-21.jpg
30,house-9.jpg
3.050000e+01,house-51.jpg
31,house-61.jpg
3.150000e+01,house-44.jpg
32,house-22.jpg
3.250000e+01,house-10.jpg
33,house-20.jpg
3.350000e+01,house-20.jpg
34,house-31.jpg
3.450000e+01,house-5.jpg
35,house-68.jpg
3.550000e+01,house-42.jpg
36,body-13.jpg
3.650000e+01,body-76.jpg
37,body-41.jpg
3.750000e+01,body-23.jpg
38,body-5.jpg
3.850000e+01,body-16.jpg
39,body-70.jpg
3.950000e+01,body-56.jpg
40,body-38.jpg
4.050000e+01,body-49.jpg
41,body-79.jpg
4.150000e+01,body-15.jpg
42,word-50.jpg
4.250000e+01,word-27.jpg
43,word-70.jpg
4.350000e+01,word-69.jpg
44,word-6.jpg
4.450000e+01,word-41.jpg
45,word-32.jpg
4.550000e+01,word-63.jpg
46,word-25.jpg
4.650000e+01,word-57.jpg
47,word-8.jpg
4.750000e+01,word-77.jpg
48,baseline
4.850000e+01,baseline
49,baseline
4.950000e+01,baseline
50,baseline
5.050000e+01,baseline
51,baseline
5.150000e+01,baseline
52,baseline
5.250000e+01,baseline
53,baseline
5.350000e+01,baseline
54,baseline
5.450000e+01,baseline
55,baseline
5.550000e+01,baseline
56,baseline
5.650000e+01,baseline
57,baseline
5.750000e+01,baseline
58,baseline
5.850000e+01,baseline
59,baseline
5.950000e+01,baseline
60,house-53.jpg
6.050000e+01,house-62.jpg
61,house-77.jpg
6.150000e+01,house-70.jpg
62,house-47.jpg
6.250000e+01,house-29.jpg
63,house-7.jpg
6.350000e+01,house-8.jpg
64,house-28.jpg
6.450000e+01,house-50.jpg
65,house-19.jpg
6.550000e+01,house-38.jpg
66,baseline
6.650000e+01,baseline
67,baseline
6.750000e+01,baseline
68,baseline
6.850000e+01,baseline
69,baseline
6.950000e+01,baseline
70,baseline
7.050000e+01,baseline
71,baseline
7.150000e+01,baseline
72,adult-32.jpg
7.250000e+01,adult-40.jpg
73,adult-22.jpg
7.350000e+01,adult-22.jpg
74,adult-35.jpg
7.450000e+01,adult-6.jpg
75,adult-55.jpg
7.550000e+01,adult-3.jpg
76,adult-68.jpg
7.650000e+01,adult-16.jpg
77,adult-69.jpg
7.750000e+01,adult-11.jpg
78,food-9.jpg
7.850000e+01,food-21.jpg
79,food-51.jpg
7.950000e+01,food-34.jpg
80,food-11.jpg
8.050000e+01,food-35.jpg
81,food-66.jpg
8.150000e+01,food-49.jpg
82,food-12.jpg
8.250000e+01,food-8.jpg
83,food-10.jpg
8.350000e+01,food-30.jpg
84,food-26.jpg
8.450000e+01,food-25.jpg
85,food-15.jpg
8.550000e+01,food-75.jpg
86,food-55.jpg
8.650000e+01,food-54.jpg
87,food-68.jpg
8.750000e+01,food-56.jpg
88,food-63.jpg
8.850000e+01,food-5.jpg
89,food-50.jpg
8.950000e+01,food-76.jpg
90,word-2.jpg
9.050000e+01,word-37.jpg
91,word-78.jpg
9.150000e+01,word-61.jpg
92,word-4.jpg
9.250000e+01,word-14.jpg
93,word-38.jpg
9.350000e+01,word-38.jpg
94,word-7.jpg
9.450000e+01,word-19.jpg
95,word-48.jpg
9.550000e+01,word-22.jpg
96,body-40.jpg
9.650000e+01,body-40.jpg
97,body-37.jpg
9.750000e+01,body-80.jpg
98,body-45.jpg
9.850000e+01,body-53.jpg
99,body-18.jpg
9.950000e+01,body-58.jpg
100,body-61.jpg
1.005000e+02,body-74.jpg
101,body-64.jpg
1.015000e+02,body-25.jpg
102,adult-54.jpg
1.025000e+02,adult-30.jpg
103,adult-45.jpg
1.035000e+02,adult-77.jpg
104,adult-60.jpg
1.045000e+02,adult-74.jpg
105,adult-78.jpg
1.055000e+02,adult-72.jpg
106,adult-62.jpg
1.065000e+02,adult-70.jpg
107,adult-70.jpg
1.075000e+02,adult-33.jpg
108,house-35.jpg
1.085000e+02,house-4.jpg
109,house-80.jpg
1.095000e+02,house-80.jpg
110,house-56.jpg
1.105000e+02,house-79.jpg
111,house-18.jpg
1.115000e+02,house-46.jpg
112,house-78.jpg
1.125000e+02,house-71.jpg
113,house-41.jpg
1.135000e+02,house-36.jpg
114,house-64.jpg
1.145000e+02,house-27.jpg
115,house-45.jpg
1.155000e+02,house-13.jpg
116,house-69.jpg
1.165000e+02,house-25.jpg
117,house-26.jpg
1.175000e+02,house-26.jpg
118,house-52.jpg
1.185000e+02,house-55.jpg
119,house-75.jpg
1.195000e+02,house-2.jpg
120,food-29.jpg
1.205000e+02,food-20.jpg
121,food-64.jpg
1.215000e+02,food-77.jpg
122,food-57.jpg
1.225000e+02,food-7.jpg
123,food-22.jpg
