onset,name
0,baseline
5.000000e-01,baseline
1,baseline
1.500000e+00,baseline
2,baseline
2.500000e+00,baseline
3,baseline
3.500000e+00,baseline
4,baseline
4.500000e+00,baseline
5,baseline
5.500000e+00,baseline
6,baseline
6.500000e+00,baseline
7,baseline
7.500000e+00,baseline
8,baseline
8.500000e+00,baseline
9,baseline
9.500000e+00,baseline
10,baseline
1.050000e+01,baseline
11,baseline
1.150000e+01,baseline
12,word-40.jpg
1.250000e+01,word-36.jpg
13,word-16.jpg
1.350000e+01,word-16.jpg
14,word-10.jpg
1.450000e+01,word-1.jpg
15,word-28.jpg
1.550000e+01,word-29.jpg
16,word-13.jpg
1.650000e+01,word-78.jpg
17,word-75.jpg
1.750000e+01,word-8.jpg
18,adult-39.jpg
1.850000e+01,adult-13.jpg
19,adult-9.jpg
1.950000e+01,adult-66.jpg
20,adult-20.jpg
2.050000e+01,adult-57.jpg
21,adult-57.jpg
2.150000e+01,adult-12.jpg
22,adult-43.jpg
2.250000e+01,adult-19.jpg
23,adult-72.jpg
2.350000e+01,adult-12.jpg
24,house-73.jpg
2.450000e+01,house-16.jpg
25,house-12.jpg
2.550000e+01,house-60.jpg
26,house-14.jpg
2.650000e+01,house-37.jpg
27,house-58.jpg
2.750000e+01,house-43.jpg
28,house-43.jpg
2.850000e+01,house-14.jpg
29,house-7.jpg
2.950000e+01,house-24.jpg
30,word-29.jpg
3.050000e+01,word-27.jpg
31,word-80.jpg
3.150000e+01,word-9.jpg
32,word-15.jpg
3.250000e+01,word-71.jpg
33,word-7.jpg
3.350000e+01,word-16.jpg
34,word-55.jpg
3.450000e+01,word-10.jpg
35,word-37.jpg
3.550000e+01,word-45.jpg
36,body-22.jpg
3.650000e+01,body-28.jpg
37,body-21.jpg
3.750000e+01,body-48.jpg
38,body-66.jpg
3.850000e+01,body-30.jpg
39,body-30.jpg
3.950000e+01,body-39.jpg
40,body-52.jpg
4.050000e+01,body-48.jpg
41,body-8.jpg
4.150000e+01,body-60.jpg
42,baseline
4.250000e+01,baseline
43,baseline
4.350000e+01,baseline
44,baseline
4.450000e+01,baseline
45,baseline
4.550000e+01,baseline
46,baseline
4.650000e+01,baseline
47,baseline
4.750000e+01,baseline
48,baseline
4.850000e+01,baseline
49,baseline
4.950000e+01,baseline
50,baseline
5.050000e+01,baseline
51,baseline
5.150000e+01,baseline
52,baseline
5.250000e+01,baseline
53,baseline
5.350000e+01,baseline
54,body-40.jpg
5.450000e+01,body-9.jpg
55,body-23.jpg
5.550000e+01,body-75.jpg
56,body-2.jpg
5.650000e+01,body-19.jpg
57,body-64.jpg
5.750000e+01,body-25.jpg
58,body-61.jpg
5.850000e+01,body-73.jpg
59,body-67.jpg
5.950000e+01,body-42.jpg
60,adult-11.jpg
6.050000e+01,adult-66.jpg
61,adult-39.jpg
6.150000e+01,adult-32.jpg
62,adult-47.jpg
6.250000e+01,adult-41.jpg
63,adult-80.jpg
6.350000e+01,adult-68.jpg
64,adult-16.jpg
6.450000e+01,adult-56.jpg
65,adult-60.jpg
6.550000e+01,adult-55.jpg
66,baseline
6.650000e+01,baseline
67,baseline
6.750000e+01,baseline
68,baseline
6.850000e+01,baseline
69,baseline
6.950000e+01,baseline
70,baseline
7.050000e+01,baseline
71,baseline
7.150000e+01,baseline
72,adult-35.jpg
7.250000e+01,adult-21.jpg
73,adult-25.jpg
7.350000e+01,adult-53.jpg
74,adult-69.jpg
7.450000e+01,adult-33.jpg
75,adult-67.jpg
7.550000e+01,adult-70.jpg
76,adult-49.jpg
7.650000e+01,adult-27.jpg
77,adult-27.jpg
7.750000e+01,adult-6.jpg
78,body-35.jpg
7.850000e+01,body-69.jpg
79,body-41.jpg
7.950000e+01,body-24.jpg
80,body-71.jpg
8.050000e+01,body-26.jpg
81,body-74.jpg
8.150000e+01,body-37.jpg
82,body-10.jpg
8.250000e+01,body-57.jpg
83,body-18.jpg
8.350000e+01,body-65.jpg
84,body-45.jpg
8.450000e+01,body-50.jpg
85,body-50.jpg
8.550000e+01,body-1.jpg
86,body-22.jpg
8.650000e+01,body-54.jpg
87,body-79.jpg
8.750000e+01,body-27.jpg
88,body-29.jpg
8.850000e+01,body-55.jpg
89,body-53.jpg
8.950000e+01,body-4.jpg
90,food-69.jpg
9.050000e+01,food-39.jpg
91,food-44.jpg
9.150000e+01,food-53.jpg
92,food-31.jpg
9.250000e+01,food-45.jpg
93,food-71.jpg
9.350000e+01,food-74.jpg
94,food-52.jpg
9.450000e+01,food-26.jpg
95,food-38.jpg
9.550000e+01,food-53.jpg
96,house-67.jpg
9.650000e+01,house-12.jpg
97,house-48.jpg
9.750000e+01,house-9.jpg
98,house-25.jpg
9.850000e+01,house-25.jpg
99,house-21.jpg
9.950000e+01,house-77.jpg
100,house-23.jpg
1.005000e+02,house-57.jpg
101,house-22.jpg
1.015000e+02,house-71.jpg
102,baseline
1.025000e+02,baseline
103,baseline
1.035000e+02,baseline
104,baseline
1.045000e+02,baseline
105,baseline
1.055000e+02,baseline
106,baseline
1.065000e+02,baseline
107,baseline
1.075000e+02,baseline
108,food-76.jpg
1.085000e+02,food-24.jpg
109,food-3.jpg
1.095000e+02,food-64.jpg
110,food-36.jpg
1.105000e+02,food-22.jpg
111,food-77.jpg
1.115000e+02,food-43.jpg
112,food-78.jpg
1.125000e+02,food-42.jpg
113,food-29.jpg
1.135000e+02,food-32.jpg
114,word-76.jpg
1.145000e+02,word-38.jpg
115,word-12.jpg
1.155000e+02,word-12.jpg
116,word-24.jpg
1.165000e+02,word-52.jpg
117,word-61.jpg
1.175000e+02,word-63.jpg
118,word-72.jpg
1.185000e+02,word-32.jpg
119,word-5.jpg
1.195000e+02,word-58.jpg
120,food-12.jpg
1.205000e+02,food-69.jpg
121,food-47.jpg
1.215000e+02,food-70.jpg
122,food-19.jpg
1.225000e+02,food-6.jpg
123,food-1.jpg
1.235000e+02,food-16.jpg
124,food-28.jpg
1.245000e+02,food-7.jpg
125,food-20.jpg
1.255000e+02,food-23.jpg
126,body-59.jpg
