onset,name
0,baseline
5.000000e-01,baseline
1,baseline
1.500000e+00,baseline
2,baseline
2.500000e+00,baseline
3,baseline
3.500000e+00,baseline
4,baseline
4.500000e+00,baseline
5,baseline
5.500000e+00,baseline
6,body-15.jpg
6.500000e+00,body-62.jpg
7,body-62.jpg
7.500000e+00,body-72.jpg
8,body-56.jpg
8.500000e+00,body-21.jpg
9,body-46.jpg
9.500000e+00,body-58.jpg
10,body-14.jpg
1.050000e+01,body-44.jpg
11,body-30.jpg
1.150000e+01,body-51.jpg
12,body-70.jpg
1.250000e+01,body-70.jpg
13,body-34.jpg
1.350000e+01,body-16.jpg
14,body-76.jpg
1.450000e+01,body-65.jpg
15,body-40.jpg
1.550000e+01,body-52.jpg
16,body-38.jpg
1.650000e+01,body-39.jpg
17,body-26.jpg
1.750000e+01,body-8.jpg
18,baseline
1.850000e+01,baseline
19,baseline
1.950000e+01,baseline
20,baseline
2.050000e+01,baseline
21,baseline
2.150000e+01,baseline
22,baseline
2.250000e+01,baseline
23,baseline
2.350000e+01,baseline
24,food-51.jpg
2.450000e+01,food-40.jpg
25,food-44.jpg
2.550000e+01,food-65.jpg
26,food-59.jpg
2.650000e+01,food-59.jpg
27,food-74.jpg
2.750000e+01,food-48.jpg
28,food-73.jpg
2.850000e+01,food-21.jpg
29,food-27.jpg
2.950000e+01,food-45.jpg
30,adult-50.jpg
3.050000e+01,adult-45.jpg
31,adult-36.jpg
3.150000e+01,adult-2.jpg
32,adult-61.jpg
3.250000e+01,adult-61.jpg
33,adult-57.jpg
3.350000e+01,adult-78.jpg
34,adult-73.jpg
3.450000e+01,adult-52.jpg
35,adult-34.jpg
3.550000e+01,adult-5.jpg
36,house-78.jpg
3.650000e+01,house-64.jpg
37,house-18.jpg
3.750000e+01,house-18.jpg
38,house-19.jpg
3.850000e+01,house-65.jpg
39,house-80.jpg
3.950000e+01,house-13.jpg
40,house-27.jpg
4.050000e+01,house-31.jpg
41,house-52.jpg
4.150000e+01,house-30.jpg
42,word-43.jpg
4.250000e+01,word-31.jpg
43,word-6.jpg
4.350000e+01,word-77.jpg
44,word-59.jpg
4.450000e+01,word-18.jpg
45,word-79.jpg
4.550000e+01,word-35.jpg
46,word-28.jpg
4.650000e+01,word-28.jpg
47,word-36.jpg
4.750000e+01,word-68.jpg
48,adult-15.jpg
4.850000e+01,adult-74.jpg
49,adult-42.jpg
4.950000e+01,adult-38.jpg
50,adult-14.jpg
5.050000e+01,adult-15.jpg
51,adult-10.jpg
5.150000e+01,adult-30.jpg
52,adult-5.jpg
5.250000e+01,adult-68.jpg
53,adult-76.jpg
5.350000e+01,adult-6.jpg
54,word-3.jpg
5.450000e+01,word-48.jpg
55,word-19.jpg
5.550000e+01,word-21.jpg
56,word-77.jpg
5.650000e+01,word-75.jpg
57,word-23.jpg
5.750000e+01,word-11.jpg
58,word-8.jpg
5.850000e+01,word-9.jpg
59,word-73.jpg
5.950000e+01,word-34.jpg
60,house-6.jpg
6.050000e+01,house-33.jpg
61,house-11.jpg
6.150000e+01,house-50.jpg
62,house-58.jpg
6.250000e+01,house-8.jpg
63,house-8.jpg
6.350000e+01,house-20.jpg
64,house-7.jpg
6.450000e+01,house-3.jpg
65,house-18.jpg
6.550000e+01,house-1.jpg
66,food-8.jpg
6.650000e+01,food-11.jpg
67,food-80.jpg
6.750000e+01,food-33.jpg
68,food-72.jpg
6.850000e+01,food-60.jpg
69,food-65.jpg
6.950000e+01,food-16.jpg
70,food-24.jpg
7.050000e+01,food-38.jpg
71,food-71.jpg
7.150000e+01,food-34.jpg
72,baseline
7.250000e+01,baseline
73,baseline
7.350000e+01,baseline
74,baseline
7.450000e+01,baseline
75,baseline
7.550000e+01,baseline
76,baseline
7.650000e+01,baseline
77,baseline
7.750000e+01,baseline
78,word-63.jpg
7.850000e+01,word-17.jpg
79,word-30.jpg
7.950000e+01,word-19.jpg
80,word-53.jpg
8.050000e+01,word-68.jpg
81,word-5.jpg
8.150000e+01,word-61.jpg
82,word-79.jpg
8.250000e+01,word-21.jpg
83,word-10.jpg
8.350000e+01,word-37.jpg
84,food-40.jpg
8.450000e+01,food-40.jpg
85,food-51.jpg
8.550000e+01,food-4.jpg
86,food-41.jpg
8.650000e+01,food-5.jpg
87,food-69.jpg
8.750000e+01,food-79.jpg
88,food-70.jpg
8.850000e+01,food-2.jpg
89,food-80.jpg
8.950000e+01,food-32.jpg
90,word-78.jpg
9.050000e+01,word-3.jpg
91,word-76.jpg
9.150000e+01,word-49.jpg
92,word-71.jpg
9.250000e+01,word-65.jpg
93,word-62.jpg
9.350000e+01,word-80.jpg
94,word-29.jpg
9.450000e+01,word-66.jpg
95,word-55.jpg
9.550000e+01,word-60.jpg
96,word-48.jpg
9.650000e+01,word-59.jpg
97,word-74.jpg
9.750000e+01,word-56.jpg
98,word-58.jpg
9.850000e+01,word-52.jpg
99,word-67.jpg
9.950000e+01,word-64.jpg
100,word-12.jpg
1.005000e+02,word-40.jpg
101,word-54.jpg
1.015000e+02,word-43.jpg
102,baseline
1.025000e+02,baseline
103,baseline
1.035000e+02,baseline
104,baseline
1.045000e+02,baseline
105,baseline
1.055000e+02,baseline
106,baseline
1.065000e+02,baseline
107,baseline
1.075000e+02,baseline
108,body-50.jpg
1.085000e+02,body-62.jpg
109,body-49.jpg
1.095000e+02,body-80.jpg
110,body-5.jpg
1.105000e+02,body-37.jpg
111,body-7.jpg
1.115000e+02,body-67.jpg
112,body-19.jpg
1.125000e+02,body-19.jpg
113,body-24.jpg
1.135000e+02,body-79.jpg
114,word-69.jpg
1.145000e+02,word-2.jpg
115,word-28.jpg
1.155000e+02,word-31.jpg
116,word-36.jpg
1.165000e+02,word-20.jpg
117,word-15.jpg
1.175000e+02,word-45.jpg
118,word-46.jpg
1.185000e+02,word-22.jpg
119,word-4.jpg
1.195000e+02,word-50.jpg
120,body-25.jpg
1.205000e+02,body-77.jpg
121,body-61.jpg
1.215000e+02,body-14.jpg
122,body-70.jpg
1.225000e+02,body-43.jpg
123,body-57.jpg
