onset,name
0,baseline
5.000000e-01,baseline
1,baseline
1.500000e+00,baseline
2,baseline
2.500000e+00,baseline
3,baseline
3.500000e+00,baseline
4,baseline
4.500000e+00,baseline
5,baseline
5.500000e+00,baseline
6,house-19.jpg
6.500000e+00,house-19.jpg
7,house-45.jpg
7.500000e+00,house-61.jpg
8,house-47.jpg
8.500000e+00,house-32.jpg
9,house-39.jpg
9.500000e+00,house-70.jpg
10,house-33.jpg
1.050000e+01,house-4.jpg
11,house-18.jpg
1.150000e+01,house-63.jpg
12,baseline
1.250000e+01,baseline
13,baseline
1.350000e+01,baseline
14,baseline
1.450000e+01,baseline
15,baseline
1.550000e+01,baseline
16,baseline
1.650000e+01,baseline
17,baseline
1.750000e+01,baseline
18,word-75.jpg
1.850000e+01,word-31.jpg
19,word-16.jpg
1.950000e+01,word-56.jpg
20,word-17.jpg
2.050000e+01,word-34.jpg
21,word-38.jpg
2.150000e+01,word-65.jpg
22,word-65.jpg
2.250000e+01,word-28.jpg
23,word-61.jpg
2.350000e+01,word-58.jpg
24,adult-51.jpg
2.450000e+01,adult-59.jpg
25,adult-59.jpg
2.550000e+01,adult-36.jpg
26,adult-7.jpg
2.650000e+01,adult-3.jpg
27,adult-29.jpg
2.750000e+01,adult-28.jpg
28,adult-58.jpg
2.850000e+01,adult-46.jpg
29,adult-13.jpg
2.950000e+01,adult-44.jpg
30,baseline
3.050000e+01,baseline
31,baseline
3.150000e+01,baseline
32,baseline
3.250000e+01,baseline
33,baseline
3.350000e+01,baseline
34,baseline
3.450000e+01,baseline
35,baseline
3.550000e+01,baseline
36,baseline
3.650000e+01,baseline
37,baseline
3.750000e+01,baseline
38,baseline
3.850000e+01,baseline
39,baseline
3.950000e+01,baseline
40,baseline
4.050000e+01,baseline
41,baseline
4.150000e+01,baseline
42,body-45.jpg
4.250000e+01,body-11.jpg
43,body-66.jpg
4.350000e+01,body-22.jpg
44,body-29.jpg
4.450000e+01,body-31.jpg
45,body-75.jpg
4.550000e+01,body-28.jpg
46,body-6.jpg
4.650000e+01,body-6.jpg
47,body-19.jpg
4.750000e+01,body-9.jpg
48,word-59.jpg
4.850000e+01,word-14.jpg
49,word-14.jpg
4.950000e+01,word-64.jpg
50,word-29.jpg
5.050000e+01,word-51.jpg
51,word-70.jpg
5.150000e+01,word-27.jpg
52,word-67.jpg
5.250000e+01,word-55.jpg
53,word-39.jpg
5.350000e+01,word-2.jpg
54,baseline
5.450000e+01,baseline
55,baseline
5.550000e+01,baseline
56,baseline
5.650000e+01,baseline
57,baseline
5.750000e+01,baseline
58,baseline
5.850000e+01,baseline
59,baseline
5.950000e+01,baseline
60,house-78.jpg
6.050000e+01,house-79.jpg
61,house-80.jpg
6.150000e+01,house-68.jpg
62,house-33.jpg
6.250000e+01,house-58.jpg
63,house-80.jpg
6.350000e+01,house-17.jpg
64,house-23.jpg
6.450000e+01,house-73.jpg
65,house-35.jpg
6.550000e+01,house-63.jpg
66,word-32.jpg
6.650000e+01,word-62.jpg
67,word-77.jpg
6.750000e+01,word-7.jpg
68,word-50.jpg
6.850000e+01,word-50.jpg
69,word-3.jpg
6.950000e+01,word-60.jpg
70,word-26.jpg
7.050000e+01,word-17.jpg
71,word-18.jpg
7.150000e+01,word-25.jpg
72,food-20.jpg
7.250000e+01,food-51.jpg
73,food-71.jpg
7.350000e+01,food-3.jpg
74,food-76.jpg
7.450000e+01,food-29.jpg
75,food-52.jpg
7.550000e+01,food-64.jpg
76,food-35.jpg
7.650000e+01,food-35.jpg
77,food-11.jpg
7.750000e+01,food-41.jpg
78,baseline
7.850000e+01,baseline
79,baseline
7.950000e+01,baseline
80,baseline
8.050000e+01,baseline
81,baseline
8.150000e+01,baseline
82,baseline
8.250000e+01,baseline
83,baseline
8.350000e+01,baseline
84,adult-67.jpg
8.450000e+01,adult-70.jpg
85,adult-32.jpg
8.550000e+01,adult-30.jpg
86,adult-13.jpg
8.650000e+01,adult-25.jpg
87,adult-25.jpg
8.750000e+01,adult-50.jpg
88,adult-61.jpg
8.850000e+01,adult-80.jpg
89,adult-71.jpg
8.950000e+01,adult-65.jpg
90,food-10.jpg
9.050000e+01,food-79.jpg
91,food-12.jpg
9.150000e+01,food-26.jpg
92,food-63.jpg
9.250000e+01,food-50.jpg
93,food-77.jpg
9.350000e+01,food-61.jpg
94,food-4.jpg
9.450000e+01,food-44.jpg
95,food-64.jpg
9.550000e+01,food-19.jpg
96,body-14.jpg
9.650000e+01,body-68.jpg
97,body-17.jpg
9.750000e+01,body-53.jpg
98,body-56.jpg
9.850000e+01,body-74.jpg
99,body-18.jpg
9.950000e+01,body-59.jpg
100,body-44.jpg
1.005000e+02,body-19.jpg
101,body-77.jpg
1.015000e+02,body-63.jpg
102,house-75.jpg
1.025000e+02,house-7.jpg
103,house-9.jpg
1.035000e+02,house-9.jpg
104,house-55.jpg
1.045000e+02,house-40.jpg
105,house-56.jpg
1.055000e+02,house-6.jpg
106,house-68.jpg
1.065000e+02,house-25.jpg
107,house-65.jpg
1.075000e+02,house-21.jpg
108,food-3.jpg
1.085000e+02,food-2.jpg
109,food-15.jpg
1.095000e+02,food-28.jpg
110,food-28.jpg
1.105000e+02,food-59.jpg
111,food-41.jpg
1.115000e+02,food-65.jpg
112,food-66.jpg
1.125000e+02,food-1.jpg
113,food-10.jpg
1.135000e+02,food-56.jpg
114,food-58.jpg
1.145000e+02,food-68.jpg
115,food-42.jpg
1.155000e+02,food-40.jpg
116,food-48.jpg
1.165000e+02,food-11.jpg
117,food-11.jpg
1.175000e+02,food-43.jpg
118,food-20.jpg
1.185000e+02,food-23.jpg
119,food-53.jpg
1.195000e+02,food-13.jpg
120,word-46.jpg
1.205000e+02,word-75.jpg
121,word-23.jpg
1.215000e+02,word-16.jpg
122,word-76.jpg
1.225000e+02,word-72.jpg
123,word-22.jpg
1.235000e+02,word-56.jpg
124,word-38.jpg
1.245000e+02,word-33.jpg
125,word-33.jpg
1.255000e+02,word-9.jpg
126,word-66.jpg
1.265000e+02,word-19.jpg
